country,year,countryCode,continent,stunt_rural,stunt_urban,waste_rural,waste_urban,stunt_all,waste_all,electricity,agLand,agLabor,foodExport,foodImport,gdpPPP,gdpPPPpercap,giniIndex,urbanPop,urbanPopGrowth,clusterPrecipAnom,nationalTempAnom,nationalPrecipAnom
Albania,2008,ALB,Europe,0.240575609,0.244390019,0.092801203,0.124743461,0.242117167,0.105710366,100,43.10218978,44.65603,4.33398175,16.432549,29214356410,9912.196804,30,49.991,1.435124211,86.24567825,102.151715,102.0207213
Albania,2009,ALB,Europe,0.240575609,0.244390019,0.092801203,0.124743461,0.242117167,0.105710366,99.55445099,43.84306569,44.05164,5.669017116,17.08738954,30194290456,10313.952,NA,51.076,1.473287913,132.1701676,100.4701064,134.1033918
Armenia,2000,ARM,Asia,0.238901701,0.178222498,0.019989486,0.034611846,0.207806333,0.027482789,98.9,46.46996839,47.51644,13.49382569,24.96798621,12426495761,3921.857522,NA,64.666,-1.610374905,NA,102.9733511,74.55119325
Armenia,2005,ARM,Asia,0.190439763,0.214488548,0.033353698,0.081561776,0.204712199,0.061964153,99.8,56.37513172,40.8853,13.36136354,17.66295971,22120580024,7259.203892,36,63.938,-0.761535436,NA,100.5030314,114.1522551
Armenia,2010,ARM,Asia,0.253302417,0.197387509,0.053730577,0.036159996,0.221034712,0.043590842,99.8,60.94134176,38.59638,16.17640234,17.66746305,26719305576,9068.787651,30,63.44,-0.766716914,134.7734284,114.0660484,121.2561558
Armenia,2015,ARM,Asia,0.139040699,0.066921218,0.060987135,0.03473814,0.098745933,0.046321235,100,58.89357218,35.32888,28.72695158,19.76181821,33121226305,11506.03899,32.4,63.085,-0.43578728,115.0502951,107.6964305,121.3027814
Armenia,2016,ARM,Asia,0.139040699,0.066921218,0.060987135,0.03473814,0.098745933,0.046321235,99.8,58.89708465,33.59874,30.83701649,19.09424265,33187468758,11580.38364,32.5,63.082,-0.449033645,116.6067394,102.6513305,119.0017369
Azerbaijan,2006,AZE,Asia,0.318470969,0.247271059,0.089711151,0.054787207,0.283225301,0.072422959,99.5,57.55291213,39.5469,5.029066297,10.45598747,80212442407,9453.94186,NA,52.589,1.479626007,NA,100.9540179,107.7182605
Bangladesh,1996,BGD,Asia,0.607950823,0.454661778,0.223023297,0.143877263,0.588840361,0.213156204,21.14438629,71.65245448,62.87864,10.09193991,17.03077448,2.42E+11,2017.213522,NA,22.064,3.449107981,NA,100.5581312,94.1896455
Bangladesh,1997,BGD,Asia,0.607950823,0.454661778,0.223023297,0.143877263,0.588840361,0.213156204,22.4,71.94438043,62.42382,8.360057935,16.86203351,2.53E+11,2070.437442,NA,22.438,3.468605378,NA,98.19699213,96.46859411
